tagcompany,tagname,tagdate,tagorg,tagrank,tagsuper,tagtel,tagloc,tagrot,tagwc,tagtask,taghead,tagceo
부산E&E,강창호,오늘,EIC기술부,경영지원팀장,Chief PCP,010-2222-1111,서울,A조,휴무,# 3APL,포항제철소장,MYANMAR-POSCO(미얀마)법인장
포스코대우,강현우,내일,계측정비섹션,고문,IP PJT 리더,010-1234-1111,포항,B조,연차,#1 DCNL  (탈탄소둔반),PT.KRAKATAU POSCO 법인장,POSCO ASSAN TST(터키)법인장
엔투비,견원성,모레,압연계장정비섹션,과장,Junior PCP,010-3321-1234,광양,C조,교육,#1CAL 연속소둔 (BP),인니법인장,POSCO Japan PC(일본)법인장
메가에셋,고동형,어제,자동화설비섹션,기사,PCE,010-1234-1234,미국,D조,반차,#1CAL 입측,광양제철소장,POSCO SS VINA(베트남)법인장
포항에스알디씨,고재욱,오늘,전기기술섹션,기술이사,PCP,010-6271-4681,터키,A조,출장,#1DNL코타운전,경영지원본부장,POSCO Thainox(태국)법인장
피엠씨텍,구정호,내일,제어시스템섹션,대리,Senior PCE,010-333-1234,홍콩,B조,파견,#1HCL 세계최고의 전기강판생산,기술투자본부장,POSCO Vietnam Holdings(베트남)대표법인장
PNR,김경환,모레,Fe분말생산섹션,발전운영팀장,Senior PCP,010-3245-6271,호주,C조,육아휴직,#2 HCL,철강생산본부장,POSCO Vietnam Holdings(베트남)부법인장
포스코A&C,김규식,어제,AHSS양산기술개발PJT팀,설비기술팀장,공장장,010-2347-1234,캐나다,D조,예비군훈련,#2ACL,철강부문장,POSCO-AAPC(알라바마)법인장
포스코,김기민,오늘,GigaSteel도금솔루션PJT팀,안전보건혁신팀장,국장,010-5672-1324,중경,A조,민방위,#2ACL 업무,철강사업본부장,POSCO-Africa(남아공)법인장
포스코P&S,김동훈,내일,GigaSteel소재품질개선PJT팀,연료화운영팀장,그룹장,010-2378-0987,성도,B조,안식월,#2ACL 업무(소둔직),가치경영센터장,POSCO-America(미국)대표법인장
포스코켐텍,김명진,모레,고Mn강양산기술개발PJT팀,주무,대표법인장,010-6723-1908,장흥도,C조,휴무,#2ACL 품질검사(안전짝궁:이춘우),CEO,POSCO-Asia(홍콩)법인장
포스코강판,김병열,어제,GigaSteel상용화추진반,Director,대표이사 회장,010-2345-6789,불산,D조,연차,#2APL,선강담당 부소장,POSCO-Australia(호주)법인장
포스코건설,김성겸,오늘,SNG공장,Staff,반장,010-3457-2395,중국,A조,교육,#2DNL,선재제어냉각PJT팀장,POSCO-Canada(캐나다)법인장
포스코E&E,김성현,내일,SNG정비섹션,Driver,법무위원,010-3578-4516,길림,B조,반차,#2PCM,CSP 조업담당 임원,POSCO-China(중국)대표법인장
포스코에너지,김영수,모레,SNG조업최적화PJT팀,E2,법인장,010-2222-1112,심양,C조,출장,#2RH [나의안전짝꿍:김경환선배님],행정담당 부소장,POSCO-China(중국)부법인장
포스코ESM,김원모,어제,안전환경기술섹션,주임,본부장,010-1234-1112,소주,D조,파견,#3 Annealing & Pickling Line,POIST실용화추진반장,POSCO-CSPC(소주)법인장
포스코인재창조원,김인영,오늘,SNG사업추진반,E3,부공장장,010-3321-1235,천진,A조,육아휴직,#3 ZRM 신설팀,주문외제품ValueUp-PJT팀장,POSCO-ESDC(슬로베니아)법인장
포스코휴먼스,김정현,내일,SmartFactory추진PJT팀,E4,부리더,010-1234-1235,우후,B조,예비군훈련,#3ACL,자동차소재마케팅실장,POSCO-India(인도)대표법인장
포스코ICT,김창섭,모레,기술혁신그룹,과장대우,부문장,010-6271-4682,연태,C조,민방위,#3ACL /나의 안전짝꿍(이성신),HR혁신실장,POSCO-ITPC(이탈리아)법인장
포스코엠텍,김창연,어제,PJT지원섹션,E5,부법인장,010-333-1235,슬로베니아,D조,안식월,#3ACL 나의안전짝꿍  손호열,정도경영실장,POSCO-Japan(일본)대표법인장
포스코플랜텍,김팔수,오늘,QSS섹션,E6,부장,010-3245-6272,자카르타,A조,휴무,#3ACL 조업,법무실 법무위원,POSCO-Maharashtra(인도)법인장
포스코미소금융재단,김형진,내일,혁신허브섹션,차장,부장대우,010-2347-1235,인도,B조,연차,#3HCL 운전,STS담당 부소장,POSCO-Malaysia(말레이시아)법인장
포스웰,문병일,모레,냉연부,G10,비상임고문,010-5672-1325,푸네,C조,교육,#BLOOM 주조작업,광양제철소 행정담당 부소장,POSCO-MESDC(멕시코)법인장
포스코교육재단,박병철,어제,1냉연공장,Manager,사무소장,010-2378-0988,이탈리아,D조,반차,&quot;Biz Model 구축으로 해외가공센터 경쟁력 강화&quot; 프로젝트수행,HiFAME연구PJT팀장,POSCO-Mexico(멕시코)법인장
포스메이트,박석순,오늘,2냉연공장,G10A,사외이사,010-6723-1909,일본,A조,출장,(1MC기계파트)1MC정정설비,정보기획실장,POSCO-MKPC(쿠알라룸푸르)법인장
포스파워,박우용,내일,3냉연공장,G10B,상임이사,010-2345-6790,말레이시아,B조,파견,(1코크스 오븐공정) HMI 운전및 설비관리,PT.KRAKATAU POSCO 생산본부장,POSCO-MPPC(멕시코)법인장
철강융합신기술연구조합,박원태,모레,4냉연공장,G11,센터장,010-3457-2396,멕시코,C조,육아휴직,(2도금 도금2반 주임) 생산/품질/설비관리,글로벌마케팅조정실장,POSCO-PMPC(마닐라)법인장
포스코경영연구원,박종호,어제,냉연기술개발섹션,G12,실장,010-3578-4517,태국,D조,예비군훈련,(2제강 기중기 파트 / 기중기 2반) 물류 전도사,전기전자마케팅실장,POSCO-PWPC(폴란드)법인장
포항공과대학교,박준영,오늘,냉연정비1섹션,G13,안전파트장,010-2222-1113,터키,A조,민방위,(2제강 기중기 파트/기중기 2반)용강기중기 운전,해외사업관리실장,POSCO-RU(러시아)법인장
포스코청암재단,박창민,내일,냉연정비2섹션,G7,연구소장,010-1234-1113,호치민,B조,안식월,(2제강 기중기 파트/기중기1반 용강기중기 운전,신사업실장,POSCO-SouthAsia(태국)대표법인장
포스코기술투자,서수환,모레,박판제품공장,P1,연구원장,010-3321-1236,베트남,C조,휴무,(2제강 기중기파트/기중기반)용강기중기운전,에너지조선마케팅실장,POSCO-TCS(태국)법인장
RIST,설성욱,어제,산세공장,P10,일반,010-1234-1236,인도네시아,D조,연차,(3CGL파트 도금2반) 검사업무.출측운전,포항연구소장,POSCO-TNPC(터키)법인장
리스텍비즈,손홍배,오늘,조업개선섹션,P2,자문교수,010-6271-4683,,A조,교육,(3용융로파트) 용융로 Tower 및 Utility 설비 정비업무,포항제철소 선강담당 부소장,POSCO-Vietnam(베트남)법인장
순천에코트랜스,송도규,내일,도금부,P3,자문역,010-333-1236,,B조,반차,(3전강 정정파트) 3HCL 운전,광양제철소 압연담당 부소장,POSCO-VST(베트남)법인장
SNNC,신상은,모레,1도금공장,P5,제철소부소장,010-3245-6273,,C조,출장,(3제강기중기파트/ 기중기반 )용강 기중기 운전직,안전생산전략실장,PT. POSCO-Indonesia Inti(인도네시아)대표법인장
포스코터미날,신용주,어제,2도금공장,P6,제철소장,010-2347-1236,,D조,파견,(5CGL 도금1반) 중앙운전,열연설비성능혁신PJT팀장,VPS(베트남)법인장
포스코아이씨티,신정훈,오늘,3도금공장,P7,주임,010-5672-1326,,A조,육아휴직,(5CGL 입측운전)알카리 농도관리,광양제철소 설비담당 부소장,광동순덕포항강판유한공사(중국)법인장
부산E&E,안승우,내일,4도금공장,P8,주임급,010-2378-0989,,B조,예비군훈련,(5CGL출측) 출측/검사,PosMAZIC연구PJT팀장,광동포항기차판유한공사(중국)법인장
포스코대우,안승일,모레,가공공장,P9,주임대우,010-6723-1910,,C조,민방위,(5CGL파트 도금1반) 입측운전,광양연구소장,장가항포항불수강유한공사(중국)법인장
엔투비,유영민,어제,도금기술개발섹션,PCP,추진단장,010-2345-6791,,D조,안식월,(6CGL 입측) ACT 농도관리,선재마케팅실장,중경포항중강기차판유한공사(중국)법인장
메가에셋,윤창호,오늘,도금정비섹션,Senior,추진반장,010-3457-2397,,A조,휴무,(6CGL)전처리 AL농도,광양제철소 SNG사업추진반장,청도포항불수강유한공사(중국)법인장
포항에스알디씨,이마음,내일,조업개선섹션,Supervisor,추진반장(기술위원),010-3578-4518,,B조,연차,(6CGL파트 도금2반) 입측운전,원료2실장,미얀마법인장
피엠씨텍,이상대,모레,발전기술개발섹션,계약직사원,추진반장(연구위원),010-2222-1114,,C조,교육,(6CGL파트 도금2반)중앙운전,원료1실장,터키법인장
PNR,이상범,어제,발전섹션,계장,팀장,010-1234-1114,,D조,반차,(6CGL파트.도금2반)검사.출측운전,재무실장,재팬피씨법인장
포스코A&C,이상석,오늘,발전정비섹션,리더,팀장(기술위원),010-3321-1237,,A조,출장,(6cgl파트.도금2반)중앙운전,유럽사무소장,SS VINA 법인장
포스코,이성민,내일,발전효율향상PJT팀,매니저,팀장(마케팅위원),010-1234-1237,,B조,파견,(7 CGL파트 CCL 도금2반)출측 검사,PosACT연구PJT팀장,타이녹스법인장
포스코P&S,이정호,모레,생산기술부,부사장,팀장(연구위원),010-6271-4684,,C조,육아휴직,(A조)기중기 주임,홍보위원,베트남대표법인장
포스코켐텍,이형록,어제,구내운송섹션,부장,파트장,010-333-1237,,D조,예비군훈련,(CGL/A조)주임/안전짝꿍:이대영,포항제철소 안전설비담당 부소장,베트남부법인장
포스코강판,임종영,오늘,생산관제섹션,사원,파트장(통합),010-3245-6274,,A조,민방위,(D조) 검사파트 STS/ 소재품질검사,엔지니어링솔루션실장,AAPC법인장
포스코건설,전환수,내일,생산기술섹션,상무급,파트장급,010-2347-1237,,B조,안식월,(D조)용강기중기운전,기술투자본부 기술위원 고로개수PJT팀장,남아공법인장
포스코E&E,조광옥,모레,생산프로세스개선섹션,이사부장,파트장대우,010-5672-1327,,C조,휴무,(HCGL) 산세 도금직,포항제철소 압연담당 부소장,미국대표법인장
포스코에너지,조영석,어제,제품출하섹션,전무,홍보위원,010-2378-0990,,D조,연차,(KP) 원료기계정비 컨설턴트,철강사업전략실장,홍콩법인장
포스코ESM,최연경,오늘,선강설비그룹,지사장,회장보좌역,010-6723-1911,,A조,교육,(MCL파트 MCL도금반) 입출측 운전작업,HR경영실장,호주법인장
포스코인재창조원,강경원,내일,연주기수리섹션,현장실습생,Chief PCP,010-2345-6792,,B조,반차,(MCL파트 MCL도금반)제품검사,투자엔지니어링실장,캐나다법인장
포스코휴먼스,강경호,모레,제강후판섹션,사장,IP PJT 리더,010-3457-2398,,C조,출장,(Mg판재) 자동차향 수요개발,철강생산본부 기술위원,중국대표법인장
포스코ICT,강동구,어제,제선화성섹션,상무이사,Junior PCP,010-3578-4519,,D조,파견,(POSCO-Vietnam) 경영지원실,GPS제강PJT팀장,중국부법인장
포스코엠텍,강동우,오늘,크레인정비섹션,총괄업무,PCE,010-2222-1115,,A조,육아휴직,(POSCO-Vietnam) 내수판매부장,용강비정질PJT팀장,소주법인장
포스코플랜텍,강득상,내일,환경에너지섹션,P4,PCP,010-1234-1115,,B조,예비군훈련,(POSCO-Vietnam) 재무부장,고Mn강특화솔루션PJT팀장,슬로베니아법인장
포스코미소금융재단,강명구,모레,설비기술부,P5A,Senior PCE,010-3321-1238,,C조,민방위,(POSCO-Vietnam) 정비부장,ER실장,인도대표법인장
포스웰,강문구,어제,BS관리섹션,P5B,Senior PCP,010-1234-1238,,D조,안식월,(PT.KP 파견)크레인 기계정비 총괄,철강사업본부 연구위원,이탈리아법인장
포스코교육재단,강민경,오늘,공사섹션,기술위원,공장장,010-6271-4685,,A조,휴무,(Posco-Vietnam) 품질서비스부장 (한국-2hr),GigaSteel상용화추진반장,일본대표법인장
